ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
38441,32,services,married,secondary,no,118,yes,no,cellular,15,may,20,6,-1,0,unknown
40403,78,retired,divorced,primary,no,2787,no,no,telephone,1,jul,372,1,-1,0,unknown
3709,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown
37422,57,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown
12527,45,blue-collar,divorced,secondary,no,-705,no,yes,unknown,3,jul,111,1,-1,0,unknown
16013,32,management,single,tertiary,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown
196,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown
8516,37,management,married,secondary,no,341,no,no,unknown,3,jun,120,2,-1,0,unknown
31208,36,technician,divorced,tertiary,no,1381,no,no,cellular,2,mar,149,1,-1,0,unknown
38462,50,admin.,single,primary,no,181,yes,no,cellular,15,may,119,4,372,3,failure
17041,34,blue-collar,married,primary,no,654,no,no,cellular,25,jul,152,1,-1,0,unknown
4920,33,management,married,tertiary,no,188,yes,no,unknown,21,may,136,1,-1,0,unknown
802,40,blue-collar,divorced,secondary,no,139,yes,no,unknown,7,may,91,1,-1,0,unknown
1738,35,technician,married,secondary,no,55,yes,no,unknown,9,may,79,4,-1,0,unknown
9565,53,management,married,unknown,no,12001,no,no,unknown,6,jun,207,1,-1,0,unknown
29743,59,unemployed,single,secondary,no,865,no,no,cellular,4,feb,1086,1,-1,0,unknown
34946,27,technician,single,secondary,no,2,yes,yes,cellular,6,may,554,2,356,1,failure
1671,32,services,married,secondary,no,2068,yes,yes,unknown,9,may,143,1,-1,0,unknown
2868,53,blue-collar,married,secondary,no,5700,yes,no,unknown,14,may,97,1,-1,0,unknown
6478,32,management,single,tertiary,no,1410,yes,no,unknown,27,may,175,5,-1,0,unknown
1572,32,management,single,tertiary,no,394,yes,no,unknown,8,may,466,2,-1,0,unknown
44771,37,services,single,tertiary,no,1189,no,no,cellular,13,sep,323,9,199,4,other
30088,46,blue-collar,married,primary,no,580,yes,no,telephone,4,feb,30,2,-1,0,unknown
19021,58,retired,married,secondary,no,983,no,no,cellular,5,aug,139,1,-1,0,unknown
15704,32,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,-1,0,unknown
39812,54,services,divorced,secondary,no,0,no,no,cellular,1,jun,174,1,81,2,success
21170,51,management,married,tertiary,no,-892,yes,yes,cellular,14,aug,248,2,-1,0,unknown
923,37,self-employed,married,tertiary,no,444,yes,no,unknown,7,may,401,2,-1,0,unknown
17887,26,admin.,single,secondary,yes,-42,no,yes,cellular,30,jul,305,3,-1,0,unknown
6778,40,admin.,divorced,secondary,no,-541,yes,yes,unknown,28,may,270,4,-1,0,unknown
18586,56,blue-collar,married,secondary,no,1362,no,no,telephone,31,jul,345,1,-1,0,unknown
7501,38,management,single,tertiary,no,6836,yes,no,unknown,29,may,374,4,-1,0,unknown
13932,58,management,divorced,tertiary,no,0,no,no,telephone,10,jul,227,7,-1,0,unknown
16318,48,technician,married,secondary,no,480,no,yes,cellular,23,jul,371,1,-1,0,unknown
8055,39,blue-collar,married,primary,no,1802,yes,no,unknown,2,jun,490,1,-1,0,unknown
39970,41,blue-collar,married,secondary,no,140,yes,no,cellular,3,jun,96,1,125,2,failure
5903,34,blue-collar,divorced,secondary,no,-566,yes,no,unknown,26,may,248,2,-1,0,unknown
8507,40,blue-collar,married,primary,no,1698,yes,yes,unknown,3,jun,240,5,-1,0,unknown
27726,38,management,married,tertiary,no,0,yes,no,telephone,12,dec,136,1,-1,0,unknown
28430,58,unemployed,divorced,primary,no,414,no,no,cellular,29,jan,267,1,-1,0,unknown
3157,26,blue-collar,single,secondary,no,786,yes,yes,unknown,14,may,103,5,-1,0,unknown
40327,27,services,single,secondary,no,246,no,no,cellular,17,jun,453,2,-1,0,unknown
17768,29,technician,single,tertiary,no,262,yes,yes,cellular,29,jul,510,9,-1,0,unknown
44637,45,services,divorced,primary,no,523,no,no,telephone,1,sep,380,4,371,4,other
28671,35,blue-collar,married,secondary,no,6411,yes,yes,cellular,30,jan,144,1,266,2,failure
6074,27,technician,married,secondary,no,639,yes,no,unknown,26,may,633,1,-1,0,unknown
44392,56,services,married,secondary,no,1989,no,no,cellular,3,aug,279,4,181,4,success
22711,43,technician,married,secondary,no,246,no,no,cellular,25,aug,113,6,-1,0,unknown
41313,25,admin.,single,tertiary,no,11,no,yes,cellular,27,aug,236,3,-1,0,unknown
32038,33,admin.,single,secondary,no,572,yes,no,cellular,14,apr,344,1,74,2,failure
23107,42,housemaid,married,tertiary,no,0,no,no,cellular,26,aug,112,10,-1,0,unknown
